ma_sv,nam_hoc,hoc_ky,nam,ma_mon,ten_mon,khoi_kien_thuc,so_tin_chi,profile,diem_cc,diem_bt,diem_gk,diem_ck,diem_tong,xep_loai,diem_gpa,lms_logins,so_lan_vang,ty_le_nop_bai,muc_tham_gia,gio_tu_hoc,ielts_score,dat_mon,dropout_risk,risk_level,dat_PLO1,dat_PLO2,dat_PLO3,dat_PLO4,dat_PLO5,dat_PLO6,dat_PLO7,dat_PLO8,dat_PLO9,dat_PLO10
SV0073,2022-2023,1,2,DSB410026,Đồ án tốt nghiệp,5,10,average,6.56,8.21,6.59,6.15,6.74,C+,2.5,12,0,0.869,5.84,20.3,3.3,1,0,Thấp,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SV0073,2022-2023,1,2,DSB15029,Thách thức dữ liệu: khai phá,3,5,average,10.0,6.65,6.46,6.83,7.0,F,0.0,45,4,0.609,7.6,20.3,3.3,1,0,Trung bình,,,0.0,,,,,0.0,,
SV0073,2022-2023,1,2,BEB13009,Khởi sự kinh doanh,1,3,average,5.46,6.83,5.22,6.32,6.01,C,2.0,27,5,1.0,6.25,20.3,3.3,1,0,Trung bình,,,,0.0,,,,1.0,,
SV0073,2022-2023,2,2,DSB25030,Đại số tuyến tính cho KHDL,2,5,average,8.33,5.81,5.49,7.37,6.59,C+,2.5,25,2,0.613,6.9,20.3,3.3,1,0,Thấp,0.0,,0.0,,,,,,,
SV0074,2023-2024,2,3,DSB25030,Đại số tuyến tính cho KHDL,2,5,good,6.3,5.92,5.54,8.09,6.71,C+,2.5,58,3,0.566,8.92,16.2,3.7,1,0,Thấp,0.0,,1.0,,,,,,,
SV0074,2023-2024,2,3,CSB35036,Thiết kế & phát triển ứng dụng di động,3,5,good,7.64,8.81,7.86,5.93,7.26,B,3.0,46,0,0.817,8.64,16.2,3.7,1,0,Thấp,,1.0,,,0.0,,,,,
SV0074,2023-2024,2,3,BEB12003,Kỹ năng giao tiếp,1,2,good,9.07,8.67,8.77,8.55,8.69,A,4.0,50,2,0.89,7.59,16.2,3.7,1,0,Thấp,,,,,,,1.0,1.0,,
SV0074,2023-2024,1,3,DSB15029,Thách thức dữ liệu: khai phá,3,5,good,6.85,7.16,7.49,9.23,8.06,B+,3.5,41,3,1.0,7.27,16.2,3.7,1,0,Thấp,,,1.0,,,,,1.0,,
SV0075,2022-2023,1,2,CSB25018,Phân tích HT & thiết kế CSDL,2,5,below_avg,6.66,3.76,5.41,2.83,4.17,D,1.0,14,6,0.604,4.7,9.0,4.6,1,0,Cao,,1.0,,1.0,1.0,,,,,
SV0075,2022-2023,1,2,DSB15029,Thách thức dữ liệu: khai phá,3,5,below_avg,6.79,4.13,4.85,4.13,4.61,D,1.0,7,3,0.785,5.38,9.0,4.6,1,0,Trung bình,,,1.0,,,,,0.0,,
SV0075,2022-2023,1,2,BEB12002,Tin học ứng dụng,1,2,below_avg,5.87,6.87,4.58,6.07,5.76,C,2.0,22,5,0.35,5.94,9.0,4.6,1,0,Trung bình,0.0,,,,,,,,,
SV0075,2022-2023,1,2,DSB43024,Đạo đức trong KHDL,3,3,below_avg,7.04,4.02,5.01,4.92,4.98,F,0.0,18,5,0.51,4.35,9.0,4.6,1,0,Trung bình,,,,1.0,,,,,,0.0
SV0076,2024-2025,1,4,DSB25031,Học máy và Học sâu,3,5,average,6.7,5.95,6.49,6.9,6.57,C+,2.5,23,4,0.867,4.94,11.3,3.6,1,0,Trung bình,1.0,1.0,0.0,,,,,,,
SV0076,2024-2025,2,4,DSB25030,Đại số tuyến tính cho KHDL,2,5,average,7.86,4.77,6.59,7.22,6.61,C+,2.5,35,4,0.904,6.13,11.3,3.6,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0076,2024-2025,2,4,BEB42125,Lịch sử Đảng CSVN,1,2,average,7.41,6.42,6.67,4.59,5.86,C,2.0,35,6,0.562,6.14,11.3,3.6,1,0,Trung bình,,,,,,,,,,0.0
SV0076,2024-2025,1,4,BEB12013,Văn hóa và Giáo dục Anh,1,2,average,9.44,4.97,6.24,5.24,5.91,C,2.0,25,2,0.752,8.0,11.3,3.6,1,0,Trung bình,,,,,,1.0,,,,
SV0077,2021-2022,2,1,CSB25022,Thiết kế & phát triển ứng dụng web,3,5,excellent,10.0,7.13,10.0,8.88,8.98,A,4.0,61,0,1.0,9.59,22.9,4.7,1,0,Thấp,0.0,1.0,,,1.0,,,,,
SV0077,2021-2022,2,1,BEB12001,Kỹ năng học thuật,1,2,excellent,8.5,8.24,6.28,9.83,8.32,B+,3.5,64,0,0.902,8.53,22.9,4.7,1,0,Thấp,,,,,,0.0,,,1.0,
SV0077,2021-2022,1,1,CSB25018,Phân tích HT & thiết kế CSDL,2,5,excellent,8.14,10.0,8.42,10.0,9.34,A,4.0,55,0,1.0,9.43,22.9,4.7,1,0,Thấp,,1.0,,0.0,1.0,,,,,
SV0077,2021-2022,2,1,DSB45027,Internet kết nối vạn vật,3,5,excellent,9.05,8.59,6.95,8.48,8.1,B+,3.5,65,0,0.648,7.24,22.9,4.7,1,0,Thấp,,,1.0,,1.0,,,,,
SV0078,2021-2022,1,1,DSB15029,Thách thức dữ liệu: khai phá,3,5,at_risk,6.72,3.81,4.52,3.86,4.34,D,1.0,14,8,0.515,5.42,7.6,5.6,1,0,Cao,,,0.0,,,,,1.0,,
SV0078,2021-2022,2,1,BEB14128,Tiếng Anh học thuật nâng cao,1,4,at_risk,5.02,3.98,2.98,3.38,3.54,F,0.0,8,5,0.551,2.4,7.6,5.6,0,0,Cao,,,,,,1.0,,,,
SV0078,2021-2022,1,1,DSB45035,Ngôn ngữ tự nhiên,3,5,at_risk,5.16,4.09,4.13,3.68,4.05,D,1.0,0,5,0.846,2.45,7.6,5.6,1,0,Cao,1.0,,0.0,,,,,,,
SV0078,2021-2022,2,1,CSB35036,Thiết kế & phát triển ứng dụng di động,3,5,at_risk,5.1,2.74,4.17,3.16,3.58,F,0.0,6,6,0.59,2.29,7.6,5.6,0,1,Cao,,0.0,,,0.0,,,,,
SV0079,2023-2024,2,3,DSB310022,Thực tập nghề nghiệp,5,10,below_avg,5.16,4.8,3.53,3.03,3.75,F,0.0,19,3,0.439,4.22,14.6,2.9,0,0,Cao,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SV0079,2023-2024,1,3,CSB35037,Nhập môn trí tuệ nhân tạo,3,5,below_avg,5.06,3.97,5.72,5.03,5.03,D+,1.5,23,5,0.557,5.7,14.6,2.9,1,0,Trung bình,0.0,0.0,1.0,,,,,,,
SV0079,2023-2024,2,3,BEB42125,Lịch sử Đảng CSVN,1,2,below_avg,7.66,5.27,5.56,4.84,5.42,F,0.0,21,3,0.655,7.85,14.6,2.9,1,0,Trung bình,,,,,,,,,,0.0
SV0079,2023-2024,1,3,CSB13055,Lập trình Java,2,3,below_avg,6.09,4.46,4.21,6.35,5.31,D+,1.5,14,4,0.312,4.24,14.6,2.9,1,0,Trung bình,1.0,0.0,,,,,,,,
SV0080,2024-2025,2,4,BEB42125,Lịch sử Đảng CSVN,1,2,average,6.24,5.99,6.91,5.93,6.27,C,2.0,26,2,0.659,6.6,6.7,5.2,1,0,Thấp,,,,,,,,,,1.0
SV0080,2024-2025,1,4,BEB12013,Văn hóa và Giáo dục Anh,1,2,average,6.47,7.11,6.36,6.91,6.74,C+,2.5,29,4,0.989,6.65,6.7,5.2,1,0,Trung bình,,,,,,1.0,,,,
SV0080,2024-2025,2,4,CSB25022,Thiết kế & phát triển ứng dụng web,3,5,average,7.9,5.67,4.39,6.7,5.92,C,2.0,34,4,0.41,5.29,6.7,5.2,1,0,Trung bình,0.0,1.0,,,1.0,,,,,
SV0080,2024-2025,2,4,BEB13116,Tư duy thiết kế,1,3,average,7.45,3.98,4.87,7.82,6.13,C,2.0,44,1,0.801,6.24,6.7,5.2,1,0,Thấp,,0.0,,,,,,1.0,,
SV0081,2022-2023,1,2,DSB45035,Ngôn ngữ tự nhiên,3,5,average,5.01,4.93,7.01,6.14,6.05,C,2.0,27,1,0.817,6.5,13.1,5.1,1,0,Thấp,0.0,,1.0,,,,,,,
SV0081,2022-2023,2,2,CSB13054,Nhập môn lập trình và máy tính,2,3,average,6.0,6.39,5.88,6.68,6.32,C,2.0,32,2,0.771,5.95,13.1,5.1,1,0,Thấp,1.0,,0.0,,,,,,,
SV0081,2022-2023,1,2,DSB33021,Kỹ thuật mô hình hóa,3,3,average,6.12,6.12,6.22,8.07,6.93,F,0.0,27,4,1.0,6.14,13.1,5.1,1,0,Trung bình,,1.0,1.0,,,,,,,
SV0081,2022-2023,1,2,BEB15139,Tiếng Anh học thuật 3,1,5,average,6.69,7.23,6.28,6.48,6.59,C+,2.5,20,1,1.0,6.02,13.1,5.1,1,0,Thấp,,,,,,1.0,,,,
SV0082,2021-2022,1,1,CSB13055,Lập trình Java,2,3,average,6.89,6.56,8.22,6.3,6.99,F,0.0,11,2,1.0,7.07,17.9,4.4,1,0,Thấp,1.0,1.0,,,,,,,,
SV0082,2021-2022,2,1,BEB12001,Kỹ năng học thuật,1,2,average,6.11,4.58,5.58,6.31,5.72,C,2.0,15,1,0.552,5.79,17.9,4.4,1,0,Trung bình,,,,,,0.0,,,0.0,
SV0082,2021-2022,2,1,DSB33020,Dự đoán ứng dụng,3,3,average,7.86,4.78,7.97,4.14,5.79,C,2.0,21,3,0.8,6.52,17.9,4.4,1,0,Trung bình,,,1.0,1.0,,,,,,
SV0082,2021-2022,1,1,DSB35032,Thách thức dữ liệu: Hệ đề nghị,3,5,average,5.77,5.61,4.55,4.67,4.93,F,0.0,33,1,0.598,4.9,17.9,4.4,1,0,Trung bình,,1.0,1.0,,,,,,,
SV0083,2023-2024,2,3,BEB42125,Lịch sử Đảng CSVN,1,2,good,7.69,6.63,5.74,5.8,6.14,C,2.0,23,0,0.944,5.9,21.2,3.9,1,0,Thấp,,,,,,,,,,0.0
SV0083,2023-2024,2,3,DSB45027,Internet kết nối vạn vật,3,5,good,10.0,6.74,7.59,8.27,7.93,F,0.0,47,0,0.815,5.88,21.2,3.9,1,0,Thấp,,,1.0,,1.0,,,,,
SV0083,2023-2024,2,3,BEB14126,Tiếng Anh nền tảng 1,1,4,good,6.74,6.25,5.4,9.12,7.19,B,3.0,61,0,0.652,5.26,21.2,3.9,1,0,Thấp,,,,,,1.0,,,,
SV0083,2023-2024,2,3,DSB23018,Phân tích dữ liệu lớn,3,3,good,7.62,6.72,7.47,7.97,7.54,B,3.0,44,1,0.685,8.17,21.2,3.9,1,0,Thấp,,,1.0,1.0,1.0,,,,,
SV0084,2024-2025,1,4,DSB35032,Thách thức dữ liệu: Hệ đề nghị,3,5,below_avg,6.48,5.25,6.24,5.06,5.6,C,2.0,20,7,0.567,4.7,11.2,3.7,1,0,Cao,,1.0,1.0,,,,,,,
SV0084,2024-2025,1,4,BEB13009,Khởi sự kinh doanh,1,3,below_avg,6.84,6.48,4.74,6.07,5.83,C,2.0,4,4,0.544,4.27,11.2,3.7,1,0,Trung bình,,,,0.0,,,,1.0,,
SV0084,2024-2025,2,4,BEB14131,Chuẩn bị kỹ năng IELTS L2,1,4,below_avg,5.51,5.03,2.4,3.59,3.71,F,0.0,27,4,0.426,6.31,11.2,3.7,0,0,Cao,,,,,,0.0,,,,
SV0084,2024-2025,2,4,CSB35036,Thiết kế & phát triển ứng dụng di động,3,5,below_avg,6.62,4.45,4.51,3.54,4.32,D,1.0,12,3,0.457,3.97,11.2,3.7,1,0,Cao,,1.0,,,0.0,,,,,
SV0085,2023-2024,1,3,DSB410026,Đồ án tốt nghiệp,5,10,good,8.93,7.89,6.89,7.07,7.37,B,3.0,31,0,0.757,6.38,11.7,4.7,1,0,Thấp,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SV0085,2023-2024,2,3,DSB33020,Dự đoán ứng dụng,3,3,good,7.71,6.72,5.7,7.8,6.94,F,0.0,49,1,1.0,8.93,11.7,4.7,1,0,Thấp,,,0.0,1.0,,,,,,
SV0085,2023-2024,1,3,DSB43024,Đạo đức trong KHDL,3,3,good,8.56,6.49,8.6,7.93,7.91,F,0.0,44,2,1.0,7.67,11.7,4.7,1,0,Thấp,,,,1.0,,,,,,1.0
SV0085,2023-2024,1,3,BEB12013,Văn hóa và Giáo dục Anh,1,2,good,9.16,7.11,7.21,7.73,7.59,B,3.0,44,0,0.619,6.61,11.7,4.7,1,0,Thấp,,,,,,1.0,,,,
SV0086,2023-2024,2,3,DSB310022,Thực tập nghề nghiệp,5,10,at_risk,5.71,2.63,3.69,5.64,4.46,D,1.0,9,6,0.524,3.59,14.2,4.7,1,0,Cao,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
SV0086,2023-2024,1,3,BEB13009,Khởi sự kinh doanh,1,3,at_risk,4.88,3.98,2.85,3.69,3.61,F,0.0,13,9,0.657,4.09,14.2,4.7,0,1,Cao,,,,1.0,,,,0.0,,
SV0086,2023-2024,2,3,CSB25020,Toán cho khoa học máy tính,2,5,at_risk,6.28,2.72,2.75,3.22,3.28,F,0.0,13,6,0.539,3.41,14.2,4.7,0,1,Cao,1.0,,1.0,,,,,,,
SV0086,2023-2024,1,3,DSB23017,Thách thức dữ liệu 2,3,3,at_risk,4.81,3.31,5.2,1.54,3.32,F,0.0,3,4,0.478,3.1,14.2,4.7,0,0,Cao,,,0.0,,,,0.0,0.0,,
SV0087,2023-2024,1,3,DSB45035,Ngôn ngữ tự nhiên,3,5,average,7.91,8.93,6.07,5.28,6.51,C+,2.5,20,3,0.585,6.75,20.1,4.5,1,0,Thấp,0.0,,1.0,,,,,,,
SV0087,2023-2024,2,3,DSB45027,Internet kết nối vạn vật,3,5,average,6.74,6.88,6.21,5.27,6.02,C,2.0,44,2,0.966,3.78,20.1,4.5,1,0,Thấp,,,1.0,,0.0,,,,,
SV0087,2023-2024,1,3,BEB11003,Kỹ năng giao tiếp LT,1,1,average,7.04,6.87,6.67,5.43,6.25,C,2.0,34,1,0.759,7.33,20.1,4.5,1,0,Thấp,,,,,,,1.0,,,
SV0087,2023-2024,2,3,CSB35038,Quản lý dự án phần mềm,3,5,average,6.15,5.32,5.23,7.08,6.08,C,2.0,22,3,0.962,6.11,20.1,4.5,1,0,Thấp,,,,,,,1.0,,,1.0
SV0088,2023-2024,1,3,DSB45028,Phân tích dữ liệu cho KHSS,3,5,good,7.27,9.16,7.44,6.29,7.31,B,3.0,44,1,1.0,7.79,20.1,3.9,1,0,Thấp,,,1.0,1.0,,,,,,
SV0088,2023-2024,1,3,BEB13009,Khởi sự kinh doanh,1,3,good,5.79,7.61,9.59,7.36,7.92,F,0.0,28,0,1.0,7.88,20.1,3.9,1,0,Thấp,,,,1.0,,,,1.0,,
SV0088,2023-2024,2,3,DSB25030,Đại số tuyến tính cho KHDL,2,5,good,7.33,7.93,8.81,8.76,8.47,F,0.0,45,0,0.651,8.03,20.1,3.9,1,0,Thấp,0.0,,1.0,,,,,,,
SV0088,2023-2024,2,3,CSB45051,Thực tiễn tốt nhất phát triển PM,3,5,good,8.36,6.13,5.97,7.39,6.81,C+,2.5,46,3,0.941,7.57,20.1,3.9,1,0,Thấp,,0.0,,,,,,,,1.0
SV0089,2023-2024,1,3,CSB25018,Phân tích HT & thiết kế CSDL,2,5,below_avg,7.45,5.1,3.1,7.33,5.62,C,2.0,19,5,0.61,4.63,12.4,4.8,1,0,Trung bình,,1.0,,0.0,1.0,,,,,
SV0089,2023-2024,1,3,DSB25031,Học máy và Học sâu,3,5,below_avg,6.99,5.69,3.6,6.03,5.33,D+,1.5,13,5,0.304,2.96,12.4,4.8,1,0,Trung bình,1.0,0.0,1.0,,,,,,,
SV0089,2023-2024,1,3,BEB12013,Văn hóa và Giáo dục Anh,1,2,below_avg,6.65,7.54,6.47,4.19,5.79,C,2.0,20,6,0.718,4.66,12.4,4.8,1,0,Trung bình,,,,,,0.0,,,,
SV0089,2023-2024,1,3,CSB35040,Kiểm thử phần mềm,3,5,below_avg,6.36,5.66,4.64,4.36,4.9,F,0.0,31,6,0.622,6.72,12.4,4.8,1,0,Trung bình,,1.0,,,0.0,,,,,
SV0090,2021-2022,2,1,DSB23016,Đại số tuyến tính,2,3,average,6.2,7.29,7.39,7.05,7.11,B,3.0,22,5,1.0,6.8,9.0,3.9,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0090,2021-2022,1,1,DSB45035,Ngôn ngữ tự nhiên,3,5,average,6.91,6.97,6.04,5.18,5.97,C,2.0,21,1,0.583,6.17,9.0,3.9,1,0,Trung bình,1.0,,0.0,,,,,,,
SV0090,2021-2022,2,1,BEB12003,Kỹ năng giao tiếp,1,2,average,6.25,7.96,5.68,5.68,6.19,C,2.0,33,0,0.731,7.18,9.0,3.9,1,0,Thấp,,,,,,,1.0,0.0,,
SV0090,2021-2022,1,1,CSB22024,Thuật toán và cấu trúc dữ liệu,2,2,average,8.81,5.76,6.35,7.54,6.95,F,0.0,26,4,0.749,5.72,9.0,3.9,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0091,2022-2023,2,2,BEB14131,Chuẩn bị kỹ năng IELTS L2,1,4,excellent,8.74,9.72,8.21,8.35,8.62,A,4.0,47,2,0.469,9.6,18.6,4.3,1,0,Thấp,,,,,,1.0,,,,
SV0091,2022-2023,1,2,CSB25018,Phân tích HT & thiết kế CSDL,2,5,excellent,8.71,10.0,7.64,7.98,8.36,B+,3.5,53,1,0.784,7.23,18.6,4.3,1,0,Thấp,,1.0,,1.0,1.0,,,,,
SV0091,2022-2023,2,2,BEB13116,Tư duy thiết kế,1,3,excellent,9.74,8.49,7.71,10.0,8.98,A,4.0,53,0,1.0,8.08,18.6,4.3,1,0,Thấp,,0.0,,,,,,1.0,,
SV0091,2022-2023,2,2,BEB14128,Tiếng Anh học thuật nâng cao,1,4,excellent,9.2,9.11,10.0,9.2,9.42,F,0.0,35,0,0.856,8.84,18.6,4.3,1,0,Thấp,,,,,,1.0,,,,
SV0092,2023-2024,2,3,BEB14133,Chuẩn bị kỹ năng IELTS L4,1,4,excellent,9.32,7.01,8.64,7.68,8.0,F,0.0,51,2,0.921,9.37,28.1,4.8,1,0,Thấp,,,,,,1.0,,,,
SV0092,2023-2024,2,3,CSB25020,Toán cho khoa học máy tính,2,5,excellent,10.0,7.37,10.0,10.0,9.47,F,0.0,59,0,0.873,8.33,28.1,4.8,1,0,Thấp,0.0,,1.0,,,,,,,
SV0092,2023-2024,1,3,CSB13055,Lập trình Java,2,3,excellent,6.75,10.0,8.4,8.22,8.48,F,0.0,50,1,0.716,6.54,28.1,4.8,1,0,Thấp,1.0,0.0,,,,,,,,
SV0092,2023-2024,1,3,CSB25018,Phân tích HT & thiết kế CSDL,2,5,excellent,8.96,7.42,8.61,7.04,7.78,B,3.0,46,0,0.977,8.44,28.1,4.8,1,0,Thấp,,1.0,,0.0,1.0,,,,,
SV0093,2023-2024,1,3,DSB15029,Thách thức dữ liệu: khai phá,3,5,good,7.84,8.38,5.33,6.79,6.78,C+,2.5,32,4,0.981,5.3,12.0,2.8,1,0,Trung bình,,,1.0,,,,,0.0,,
SV0093,2023-2024,1,3,BEB14127,Tiếng Anh nền tảng 2,1,4,good,7.43,5.91,9.53,7.88,7.94,F,0.0,45,0,0.958,7.12,12.0,2.8,1,0,Thấp,,,,,,1.0,,,,
SV0093,2023-2024,2,3,BEB14133,Chuẩn bị kỹ năng IELTS L4,1,4,good,8.73,5.55,9.12,7.72,7.8,B,3.0,52,0,0.712,6.34,12.0,2.8,1,0,Thấp,,,,,,1.0,,,,
SV0093,2023-2024,2,3,BEB12001,Kỹ năng học thuật,1,2,good,8.08,6.94,5.98,5.98,6.38,C,2.0,41,0,0.747,9.05,12.0,2.8,1,0,Thấp,,,,,,0.0,,,1.0,
SV0094,2024-2025,1,4,BEB12002,Tin học ứng dụng,1,2,average,6.1,6.0,4.96,7.68,6.37,C,2.0,32,3,1.0,7.36,14.7,3.1,1,0,Thấp,0.0,,,,,,,,,
SV0094,2024-2025,1,4,CSB25018,Phân tích HT & thiết kế CSDL,2,5,average,5.29,5.37,4.8,7.07,5.87,C,2.0,31,0,0.522,4.71,14.7,3.1,1,0,Trung bình,,1.0,,1.0,1.0,,,,,
SV0094,2024-2025,2,4,BEB14133,Chuẩn bị kỹ năng IELTS L4,1,4,average,7.45,8.49,7.02,5.69,6.83,C+,2.5,36,0,0.706,6.53,14.7,3.1,1,0,Thấp,,,,,,0.0,,,,
SV0094,2024-2025,1,4,DSB13001,Xác suất thống kê,2,3,average,6.96,4.98,6.12,4.91,5.49,F,0.0,33,3,0.76,6.21,14.7,3.1,1,0,Trung bình,0.0,,0.0,0.0,,,,,,
SV0095,2022-2023,2,2,BEB23122,Triết học Mác-Lênin,1,3,excellent,9.66,8.74,9.8,8.06,8.88,A,4.0,62,1,0.848,8.49,37.3,4.7,1,0,Thấp,,,,,,,,,,1.0
SV0095,2022-2023,2,2,BEB15138,Tiếng Anh học thuật 2,1,5,excellent,8.22,9.16,7.6,10.0,8.93,A,4.0,62,0,0.927,9.06,37.3,4.7,1,0,Thấp,,,,,,1.0,,,,
SV0095,2022-2023,1,2,DSB33021,Kỹ thuật mô hình hóa,3,3,excellent,10.0,9.27,8.76,8.75,8.98,A,4.0,58,0,0.859,8.16,37.3,4.7,1,0,Thấp,,1.0,1.0,,,,,,,
SV0095,2022-2023,1,2,DSB15029,Thách thức dữ liệu: khai phá,3,5,excellent,9.71,8.42,10.0,7.72,8.74,A,4.0,49,0,0.899,7.43,37.3,4.7,1,0,Thấp,,,1.0,,,,,0.0,,
SV0096,2022-2023,1,2,BEB14132,Chuẩn bị kỹ năng IELTS L3,1,4,average,8.92,7.1,4.79,5.1,5.79,C,2.0,34,2,0.525,7.47,7.6,5.4,1,0,Trung bình,,,,,,1.0,,,,
SV0096,2022-2023,1,2,DSB15029,Thách thức dữ liệu: khai phá,3,5,average,7.11,7.35,6.97,6.01,6.67,C+,2.5,27,0,0.692,6.52,7.6,5.4,1,0,Thấp,,,1.0,,,,,1.0,,
SV0096,2022-2023,2,2,CSB25022,Thiết kế & phát triển ứng dụng web,3,5,average,8.25,4.78,5.72,6.43,6.07,C,2.0,24,5,0.986,6.49,7.6,5.4,1,0,Trung bình,1.0,1.0,,,1.0,,,,,
SV0096,2022-2023,2,2,DSB33020,Dự đoán ứng dụng,3,3,average,7.44,5.1,6.36,4.87,5.62,C,2.0,35,4,0.591,4.35,7.6,5.4,1,0,Trung bình,,,0.0,0.0,,,,,,
SV0097,2023-2024,1,3,DSB410026,Đồ án tốt nghiệp,5,10,excellent,8.39,7.97,8.93,10.0,9.11,A,4.0,67,1,0.919,9.59,23.5,6.2,1,0,Thấp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SV0097,2023-2024,1,3,BEB12013,Văn hóa và Giáo dục Anh,1,2,excellent,9.41,9.57,9.04,8.68,9.04,A,4.0,68,0,0.916,9.84,23.5,6.2,1,0,Thấp,,,,,,0.0,,,,
SV0097,2023-2024,1,3,DSB15029,Thách thức dữ liệu: khai phá,3,5,excellent,8.12,5.87,7.93,9.71,8.25,B+,3.5,52,1,0.872,10.0,23.5,6.2,1,0,Thấp,,,1.0,,,,,0.0,,
SV0097,2023-2024,1,3,BEB12002,Tin học ứng dụng,1,2,excellent,9.81,10.0,6.45,8.25,8.22,B+,3.5,61,2,0.886,8.51,23.5,6.2,1,0,Thấp,1.0,,,,,,,,,
SV0098,2022-2023,2,2,BEB13116,Tư duy thiết kế,1,3,below_avg,6.89,5.05,4.74,5.17,5.19,D+,1.5,19,5,0.391,6.3,19.3,4.2,1,0,Trung bình,,1.0,,,,,,0.0,,
SV0098,2022-2023,1,2,BEB22034,Tư tưởng Hồ Chí Minh,1,2,below_avg,6.12,7.39,4.29,3.7,4.86,D,1.0,15,7,0.128,4.0,19.3,4.2,1,0,Cao,,,,,,,,,,0.0
SV0098,2022-2023,2,2,DSB25030,Đại số tuyến tính cho KHDL,2,5,below_avg,6.71,3.67,4.75,4.58,4.66,D,1.0,26,7,0.608,4.46,19.3,4.2,1,0,Cao,1.0,,1.0,,,,,,,
SV0098,2022-2023,2,2,BEB14133,Chuẩn bị kỹ năng IELTS L4,1,4,below_avg,4.76,2.89,2.92,3.42,3.3,F,0.0,10,5,0.37,1.86,19.3,4.2,0,0,Cao,,,,,,0.0,,,,
SV0099,2022-2023,1,2,BEB12013,Văn hóa và Giáo dục Anh,1,2,average,6.0,6.13,5.08,6.4,5.91,C,2.0,28,1,0.699,6.63,22.6,4.0,1,0,Trung bình,,,,,,0.0,,,,
SV0099,2022-2023,1,2,DSB35032,Thách thức dữ liệu: Hệ đề nghị,3,5,average,7.17,6.1,4.96,6.28,5.94,C,2.0,25,1,0.307,5.84,22.6,4.0,1,0,Trung bình,,0.0,1.0,,,,,,,
SV0099,2022-2023,2,2,BEB12003,Kỹ năng giao tiếp,1,2,average,10.0,7.26,7.57,7.15,7.58,B,3.0,44,1,0.466,5.75,22.6,4.0,1,0,Thấp,,,,,,,1.0,1.0,,
SV0099,2022-2023,2,2,CSB45051,Thực tiễn tốt nhất phát triển PM,3,5,average,7.33,7.79,6.46,7.16,7.09,B,3.0,22,1,1.0,6.3,22.6,4.0,1,0,Thấp,,1.0,,,,,,,,1.0
SV0100,2022-2023,2,2,CSB35036,Thiết kế & phát triển ứng dụng di động,3,5,excellent,9.55,9.12,7.61,8.65,8.52,A,4.0,57,1,0.836,9.88,18.6,4.0,1,0,Thấp,,1.0,,,1.0,,,,,
SV0100,2022-2023,2,2,BEB13116,Tư duy thiết kế,1,3,excellent,8.61,6.62,8.82,9.67,8.7,A,4.0,59,1,0.798,7.99,18.6,4.0,1,0,Thấp,,1.0,,,,,,1.0,,
SV0100,2022-2023,2,2,BEB42125,Lịch sử Đảng CSVN,1,2,excellent,8.53,10.0,7.44,8.1,8.32,B+,3.5,68,1,0.796,9.09,18.6,4.0,1,0,Thấp,,,,,,,,,,1.0
SV0100,2022-2023,1,2,BEB12013,Văn hóa và Giáo dục Anh,1,2,excellent,5.91,7.71,8.44,8.37,8.01,B+,3.5,56,2,0.802,7.74,18.6,4.0,1,0,Thấp,,,,,,1.0,,,,
SV0101,2022-2023,2,2,BEB13004,Lập kế hoạch phát triển cá nhân,1,3,average,6.06,7.28,6.98,6.14,6.61,C+,2.5,27,2,0.834,6.12,13.5,6.3,1,0,Thấp,,,,,,,,1.0,0.0,
SV0101,2022-2023,2,2,CSB25022,Thiết kế & phát triển ứng dụng web,3,5,average,7.9,4.72,4.74,4.1,4.8,D,1.0,36,3,0.626,4.77,13.5,6.3,1,0,Trung bình,0.0,0.0,,,1.0,,,,,
SV0101,2022-2023,2,2,BEB14126,Tiếng Anh nền tảng 1,1,4,average,8.03,5.02,5.34,6.42,5.97,C,2.0,52,3,0.791,7.41,13.5,6.3,1,0,Trung bình,,,,,,1.0,,,,
SV0101,2022-2023,2,2,BEB42125,Lịch sử Đảng CSVN,1,2,average,5.81,7.47,4.2,8.12,6.58,C+,2.5,31,0,0.799,6.85,13.5,6.3,1,0,Thấp,,,,,,,,,,1.0
SV0102,2021-2022,2,1,CSB25020,Toán cho khoa học máy tính,2,5,average,5.98,6.58,6.08,4.33,5.47,F,0.0,19,3,0.847,6.78,8.5,4.4,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0102,2021-2022,2,1,CSB13054,Nhập môn lập trình và máy tính,2,3,average,7.88,6.08,7.37,5.14,6.27,C,2.0,32,4,0.783,5.77,8.5,4.4,1,0,Trung bình,1.0,,1.0,,,,,,,
